Date;Matin;Après-midi
Mercredi 01-01-2020;Bureau;Bureau
Mercredi 18-05-2022;Télétravail;Absent
Jeudi 19-05-2022;Absent;Absent
Vendredi 20-05-2022;Absent;Absent
Lundi 23-05-2022;Télétravail;Télétravail
Mardi 24-05-2022;Bureau;Bureau
Mercredi 25-05-2022;Bureau;Bureau
Jeudi 26-05-2022;Absent;Absent
Vendredi 27-05-2022;Télétravail;Télétravail
Lundi 30-05-2022;Télétravail;Télétravail
Mardi 31-05-2022;Télétravail;Télétravail
Mercredi 01-06-2022;Bureau;Bureau
Jeudi 02-06-2022;Télétravail;Télétravail
Vendredi 03-06-2022;Bureau;Bureau
Lundi 06-06-2022;Absent;Absent
Mardi 07-06-2022;Télétravail;Absent
Mercredi 08-06-2022;Télétravail;Télétravail
Jeudi 09-06-2022;Télétravail;Télétravail
Vendredi 10-06-2022;Bureau;Bureau
Lundi 13-06-2022;Télétravail;Télétravail
